frame_idx	omega0	b0_extracted	u0	u1	u2	u3	u4	u5	u6	u7	chip_g0	chip_g1	chip_g2	chip_u4	chip_u5	chip_u6	chip_c7
131	0.316135	0	21	3841	82	1943	135	1213	1855	0	1041	3885	2895	325	1139	1782	7
132	0.152783	43	663	4033	2406	206	1043	530	1596	86	2317	2943	209	450	1260	1464	26
133	0.308377	1	36	3151	2467	2178	70	210	287	10	1042	3283	279	291	459	265	39
134	0.308377	1	36	1387	3359	2570	148	1903	258	66	2920	2397	941	210	527	80	4
135	0.127902	59	934	1996	1739	1465	1285	1802	256	118	1057	1110	3913	270	2044	755	95
136	0.233793	14	230	2412	1065	3635	60	1545	365	84	1058	3223	3134	232	1971	1879	35
137	0.051767	203	3247	4064	1767	2286	2047	1976	663	38	1570	3798	3878	470	1877	299	4
138	0.149156	45	756	3238	1807	3469	2026	686	1509	122	1715	934	2990	682	1914	1675	82
139	0.147406	46	757	3876	2404	160	1927	1787	86	52	1712	3534	2369	148	50	1093	19
140	0.051031	207	3311	2936	3417	4011	2047	1550	482	62	1713	3899	1859	1612	1267	285	70
141	0.082538	113	1837	3028	2210	874	2047	1622	339	74	1638	1852	2661	262	1788	309	69
142	0.051981	202	3237	1924	2687	3580	2047	1370	940	108	2081	1493	4083	415	1738	1674	22
143	0.078417	121	1941	3909	3338	3295	1952	1012	1554	58	2523	1386	2338	178	152	1321	116
144	0.169244	35	535	3414	2696	2261	1055	1515	1710	78	1046	571	1474	149	1884	1272	99
145	0.124728	61	981	4016	3206	670	1028	92	1973	122	1045	3926	2477	22	444	762	91
146	0.308377	1	21	3464	3429	1304	204	170	300	66	1041	3291	3887	493	117	742	119
147	0.293950	3	21	2960	587	1990	184	1739	1244	94	1041	1320	1901	400	1227	757	27
148	0.308377	1	28	3530	395	995	24	641	303	2	1041	863	1115	309	332	1798	23
149	0.119395	66	1052	1910	3108	3831	6	287	1867	116	2658	125	431	144	1439	668	110
150	0.085052	108	1755	3507	2848	152	0	196	1341	8	2653	1535	1748	252	1478	811	108
151	0.065365	153	2461	3342	3735	3408	1580	326	1561	82	1048	3983	3791	90	1588	762	83
152	0.063386	159	2525	3630	1908	3955	1678	1251	316	22	3481	1791	2482	65	1499	244	77
153	0.316135	0	29	3716	1224	3644	22	1632	688	16	2326	1178	1321	350	1871	997	99
154	0.061225	166	2655	3448	1586	3259	1518	1039	1602	68	1046	3915	3559	139	453	741	39
155	0.063708	158	2525	3135	2514	1288	1500	1268	528	116	2325	1499	782	137	1375	1642	54
156	0.057976	177	2839	3096	3435	1790	1548	1952	729	42	1045	3290	3244	220	796	277	59
157	0.066754	149	2389	3380	2389	3005	1548	803	1479	106	1046	1711	594	211	523	1762	19
158	0.129217	58	918	1938	434	1335	1031	886	1508	124	1044	3325	3493	335	1243	1801	39
159	0.280813	5	86	615	250	1853	118	1881	1189	90	1046	1357	3941	388	131	1790	107
160	0.308377	1	21	3970	2098	441	146	497	166	26	1042	3802	3471	339	819	1291	91
161	0.283986	5	87	676	2181	2719	44	573	1664	58	1042	1383	3169	154	203	1174	107
162	0.277710	6	87	944	1565	2328	87	272	1390	100	1041	3291	2834	195	1196	1814	107
163	0.308377	1	21	1827	1073	104	115	1014	95	58	1037	3236	2729	405	1387	753	47
164	0.283986	5	87	944	1306	343	82	873	1573	18	1041	1407	3551	116	339	773	23
165	0.051239	206	3287	502	2421	3370	1535	555	1230	20	1037	3370	676	461	1283	1765	43
166	0.063708	158	2517	3612	3391	1840	1333	1309	1697	92	1041	1789	2523	454	188	755	111
167	0.057843	178	2838	3292	923	3180	1976	1633	222	100	2321	3035	3761	122	372	1527	28
168	0.057578	179	2837	2471	3531	3350	1595	414	186	22	1042	3823	3854	197	1149	773	27
169	0.308377	1	21	3717	200	3950	167	1503	455	114	2321	3283	3175	30	1313	183	26
170	0.119965	65	1045	4003	2546	3712	1028	968	1776	82	1043	818	486	13	1931	1270	31
171	0.062910	160	2583	3166	2805	3856	1871	347	613	24	2384	3679	2186	410	1847	1063	78
172	0.124728	61	981	822	1859	1500	2	1146	1271	106	1042	3577	1527	161	388	266	119
173	0.308377	1	21	3337	381	1343	101	816	1183	10	1042	3253	3597	202	1267	1766	91
174	0.297429	3	21	3970	23	690	114	1513	1702	110	2385	1279	3790	47	1351	708	58
175	0.280813	5	87	818	2155	1047	37	1878	1767	58	2449	3213	2238	19	1656	524	28
