frame_idx	omega0	b0_extracted	u0	u1	u2	u3	u4	u5	u6	u7	chip_g0	chip_g1	chip_g2	chip_u4	chip_u5	chip_u6	chip_c7
574	0.072117	135	2149	2697	2561	369	1024	975	1454	62	1061	1083	3769	504	1708	747	43
575	0.057315	180	2919	1113	2731	1586	1292	991	1850	64	1064	3418	2516	82	1220	773	39
576	0.178881	31	481	3529	3825	4061	39	941	1688	94	1061	1312	582	157	651	1769	111
577	0.182784	29	501	3759	3111	3203	1637	733	1777	114	1323	4094	4016	17	1676	326	100
578	0.090568	99	1579	1493	2982	2289	2046	1306	971	86	1263	1372	221	369	1585	1272	78
579	0.181464	30	495	3889	3265	3353	1833	957	843	108	1261	3516	2979	791	763	1705	59
580	0.170391	34	551	3491	1356	1444	1035	910	921	4	1382	1858	3341	647	1116	326	120
581	0.153717	42	669	3984	2740	3362	1042	709	1089	124	1501	1215	806	138	1291	1814	37
582	0.180163	30	486	3959	2048	1369	1038	1716	559	52	1373	1527	29	117	891	2042	70
583	0.191124	26	436	4072	3696	3646	1608	619	1409	52	1186	1466	3703	277	1611	1785	25
584	0.092570	96	1581	4049	293	3687	2017	844	969	16	1199	2884	258	1827	370	752	61
585	0.177617	31	493	4041	3446	401	1826	1679	1622	86	1263	102	772	110	1723	1820	97
586	0.087418	104	1701	2926	3852	232	2028	1120	1382	96	1381	1867	3807	479	612	1817	20
587	0.087115	105	1701	1918	777	3912	2030	749	759	58	1383	1752	2402	393	1012	330	12
588	0.085631	107	1703	3968	109	658	2023	1524	1428	22	1383	1361	3950	234	1772	166	66
589	0.084765	109	1765	3888	1521	2137	2047	552	1285	98	1382	3453	1955	202	12	161	95
590	0.083916	110	1772	494	3243	1344	2047	622	1181	100	1382	1661	1702	467	1467	1366	67
591	0.082810	112	1837	2437	1374	3696	2047	1883	1960	112	1458	783	2392	268	1436	32	68
592	0.054459	191	3055	1419	176	783	2047	2041	599	38	1522	1198	3525	1879	1579	1701	73
593	0.053760	194	3118	2925	2054	2356	2015	1972	1502	36	1522	3894	2611	644	572	1721	119
594	0.053760	194	3118	3878	2970	454	2015	1502	498	12	1585	3789	1545	709	1707	834	60
595	0.053531	195	3119	3009	657	830	2047	1086	1407	126	1581	4025	2678	869	186	1827	60
596	0.157572	40	684	3386	1789	4083	1536	8	453	112	1578	2006	406	683	1973	730	109
597	0.158566	40	677	2558	415	577	1538	1450	716	40	1576	508	1735	569	1839	677	65
598	0.173929	33	551	3876	3130	2821	1566	1598	1926	10	1503	1562	3685	350	556	164	69
599	0.085052	108	1780	3880	3400	1228	2036	20	1322	56	1257	3796	2490	1492	299	1817	69
